lane,from_frame_start,from_frame_end,from_source,from_step,from_time_ns,to_source,to_step,to_time_ns,from_state,to_state,from_run_len_frames,from_run_len_ps
npbc,1268,1268,prod,1134000,0.6335010000000001,prod,1134500,0.634001,PPII,C5,1,0.5
npbc,1269,1433,prod,1134500,0.634001,prod,1217000,0.716501,C5,PPII,165,82.5
npbc,1434,1434,prod,1217000,0.716501,prod,1217500,0.717001,PPII,C5,1,0.5
npbc,1435,1438,prod,1217500,0.717001,prod,1219500,0.719001,C5,PPII,4,2.0
npbc,1439,1439,prod,1219500,0.719001,prod,1220000,0.7195010000000001,PPII,C5,1,0.5
npbc,1440,1440,prod,1220000,0.7195010000000001,prod,1220500,0.720001,C5,PPII,1,0.5
npbc,1441,1442,prod,1220500,0.720001,prod,1221500,0.721001,PPII,C5,2,1.0
npbc,1443,1503,prod,1221500,0.721001,prod,1252000,0.751501,C5,C7eq,61,30.5
npbc,1504,1611,prod,1252000,0.751501,prod,1306000,0.805501,C7eq,PPII,108,54.0
npbc,1612,1612,prod,1306000,0.805501,prod,1306500,0.806001,PPII,C7eq,1,0.5
npbc,1613,1644,prod,1306500,0.806001,prod,1322500,0.822001,C7eq,PPII,32,16.0
npbc,1645,1645,prod,1322500,0.822001,prod,1323000,0.822501,PPII,C7eq,1,0.5
npbc,1646,1647,prod,1323000,0.822501,prod,1324000,0.823501,C7eq,PPII,2,1.0
npbc,1648,1649,prod,1324000,0.823501,prod,1325000,0.824501,PPII,C5,2,1.0
npbc,1650,1808,prod,1325000,0.824501,prod,1404500,0.904001,C5,PPII,159,79.5
npbc,1809,1809,prod,1404500,0.904001,prod,1405000,0.904501,PPII,C5,1,0.5
npbc,1810,2138,prod,1405000,0.904501,prod,1569500,1.069001,C5,alphaR,329,164.5
npbc,2139,2148,prod,1569500,1.069001,prod,1574500,1.074001,alphaR,alpha_prime,10,5.0
npbc,2149,2149,prod,1574500,1.074001,prod,1575000,1.0745010000000002,alpha_prime,alphaR,1,0.5
npbc,2150,2171,prod,1575000,1.0745010000000002,prod,1586000,1.085501,alphaR,C7ax,22,11.0
npbc,2172,2212,prod,1586000,1.085501,prod,1606500,1.106001,C7ax,alphaL,41,20.5
npbc,2213,2213,prod,1606500,1.106001,prod,1607000,1.106501,alphaL,C7ax,1,0.5
npbc,2214,2225,prod,1607000,1.106501,prod,1613000,1.112501,C7ax,alphaL,12,6.0
npbc,2226,2227,prod,1613000,1.112501,prod,1614000,1.1135009999999999,alphaL,C7ax,2,1.0
npbc,2228,2229,prod,1614000,1.1135009999999999,prod,1615000,1.114501,C7ax,alphaL,2,1.0
npbc,2230,2230,prod,1615000,1.114501,prod,1615500,1.115001,alphaL,C7ax,1,0.5
npbc,2231,2354,prod,1615500,1.115001,prod,1677500,1.177001,C7ax,alphaL_C7ax,124,62.0
npbc,2355,2362,prod,1677500,1.177001,prod,1681500,1.181001,alphaL_C7ax,C7ax,8,4.0
npbc,2363,2363,prod,1681500,1.181001,prod,1682000,1.181501,C7ax,alphaL_C7ax,1,0.5
npbc,2364,2369,prod,1682000,1.181501,prod,1685000,1.184501,alphaL_C7ax,C7ax,6,3.0
npbc,2370,2370,prod,1685000,1.184501,prod,1685500,1.185001,C7ax,alphaL_C7ax,1,0.5
npbc,2371,2371,prod,1685500,1.185001,prod,1686000,1.185501,alphaL_C7ax,C7ax,1,0.5
npbc,2372,2374,prod,1686000,1.185501,prod,1687500,1.187001,C7ax,alphaL_C7ax,3,1.5
npbc,2375,2375,prod,1687500,1.187001,prod,1688000,1.1875010000000001,alphaL_C7ax,C7ax,1,0.5
npbc,2376,2378,prod,1688000,1.1875010000000001,prod,1689500,1.189001,C7ax,alphaL_C7ax,3,1.5
npbc,2379,2379,prod,1689500,1.189001,prod,1690000,1.189501,alphaL_C7ax,C7ax,1,0.5
npbc,2380,2430,prod,1690000,1.189501,prod,1715500,1.215001,C7ax,alphaL,51,25.5
npbc,2431,2432,prod,1715500,1.215001,prod,1716500,1.2160009999999999,alphaL,C7ax,2,1.0
npbc,2433,2555,prod,1716500,1.2160009999999999,prod,1778000,1.277501,C7ax,alphaL_C7ax,123,61.5
npbc,2556,2557,prod,1778000,1.277501,prod,1779000,1.2785009999999999,alphaL_C7ax,C7ax,2,1.0
npbc,2558,2558,prod,1779000,1.2785009999999999,prod,1779500,1.279001,C7ax,alphaL_C7ax,1,0.5
npbc,2559,2560,prod,1779500,1.279001,prod,1780500,1.280001,alphaL_C7ax,C7ax,2,1.0
npbc,2561,2564,prod,1780500,1.280001,prod,1782500,1.282001,C7ax,alphaL_C7ax,4,2.0
npbc,2565,2566,prod,1782500,1.282001,prod,1783500,1.283001,alphaL_C7ax,C7ax,2,1.0
npbc,2567,2567,prod,1783500,1.283001,prod,1784000,1.283501,C7ax,alphaL_C7ax,1,0.5
npbc,2568,2580,prod,1784000,1.283501,prod,1790500,1.290001,alphaL_C7ax,C7ax,13,6.5
npbc,2581,2581,prod,1790500,1.290001,prod,1791000,1.290501,C7ax,alphaL_C7ax,1,0.5
npbc,2582,2583,prod,1791000,1.290501,prod,1792000,1.291501,alphaL_C7ax,C7ax,2,1.0
npbc,2584,2585,prod,1792000,1.291501,prod,1793000,1.2925010000000001,C7ax,alphaL_C7ax,2,1.0
npbc,2586,2587,prod,1793000,1.2925010000000001,prod,1794000,1.293501,alphaL_C7ax,C7ax,2,1.0
npbc,2588,2589,prod,1794000,1.293501,prod,1795000,1.294501,C7ax,alphaL_C7ax,2,1.0
npbc,2590,2599,prod,1795000,1.294501,prod,1800000,1.299501,alphaL_C7ax,alphaL,10,5.0
npbc,2600,2600,prod,1800000,1.299501,prod,1800500,1.300001,alphaL,alphaL_C7ax,1,0.5
npbc,2601,2629,prod,1800500,1.300001,prod,1815000,1.314501,alphaL_C7ax,alphaL,29,14.5
npbc,2630,2632,prod,1815000,1.314501,prod,1816500,1.316001,alphaL,alphaL_C7ax,3,1.5
npbc,2633,2715,prod,1816500,1.316001,prod,1858000,1.357501,alphaL_C7ax,alphaL,83,41.5
npbc,2716,2717,prod,1858000,1.357501,prod,1859000,1.358501,alphaL,alphaL_C7ax,2,1.0
npbc,2718,2719,prod,1859000,1.358501,prod,1860000,1.3595009999999998,alphaL_C7ax,alphaL,2,1.0
npbc,2720,2720,prod,1860000,1.3595009999999998,prod,1860500,1.360001,alphaL,alphaL_C7ax,1,0.5
npbc,2721,2723,prod,1860500,1.360001,prod,1862000,1.361501,alphaL_C7ax,alphaL,3,1.5
npbc,2724,2725,prod,1862000,1.361501,prod,1863000,1.362501,alphaL,alphaL_C7ax,2,1.0
npbc,2726,2765,prod,1863000,1.362501,prod,1883000,1.382501,alphaL_C7ax,C7ax,40,20.0
npbc,2766,2913,prod,1883000,1.382501,prod,1957000,1.4565009999999998,C7ax,alphaL_C7ax,148,74.0
npbc,2914,2914,prod,1957000,1.4565009999999998,prod,1957500,1.457001,alphaL_C7ax,C7ax,1,0.5
npbc,2915,2929,prod,1957500,1.457001,prod,1965000,1.4645009999999998,C7ax,alphaL,15,7.5
npbc,2930,2930,prod,1965000,1.4645009999999998,prod,1965500,1.465001,alphaL,C7ax,1,0.5
npbc,2931,2961,prod,1965500,1.465001,prod,1981000,1.4805009999999998,C7ax,alphaL_C7ax,31,15.5
npbc,2962,2962,prod,1981000,1.4805009999999998,prod,1981500,1.481001,alphaL_C7ax,C7ax,1,0.5
npbc,2963,2973,prod,1981500,1.481001,prod,1987000,1.486501,C7ax,alphaL,11,5.5
npbc,2974,2974,prod,1987000,1.486501,prod,1987500,1.487001,alphaL,C7ax,1,0.5
npbc,2975,3066,prod,1987500,1.487001,prod,2033500,1.533001,C7ax,alphaL,92,46.0
npbc,3067,3067,prod,2033500,1.533001,prod,2034000,1.5335009999999998,alphaL,C7ax,1,0.5
npbc,3068,3092,prod,2034000,1.5335009999999998,prod,2046500,1.546001,C7ax,alphaL_C7ax,25,12.5
npbc,3093,3093,prod,2046500,1.546001,prod,2047000,1.5465010000000001,alphaL_C7ax,C7ax,1,0.5
npbc,3094,3147,prod,2047000,1.5465010000000001,prod,2074000,1.5735009999999998,C7ax,alphaL_C7ax,54,27.0
npbc,3148,3148,prod,2074000,1.5735009999999998,prod,2074500,1.574001,alphaL_C7ax,C7ax,1,0.5
npbc,3149,3206,prod,2074500,1.574001,prod,2103500,1.603001,C7ax,alphaL_C7ax,58,29.0
npbc,3207,3207,prod,2103500,1.603001,prod,2104000,1.603501,alphaL_C7ax,C7ax,1,0.5
npbc,3208,3271,prod,2104000,1.603501,prod,2136000,1.635501,C7ax,alphaL_C7ax,64,32.0
npbc,3272,3272,prod,2136000,1.635501,prod,2136500,1.6360009999999998,alphaL_C7ax,C7ax,1,0.5
