lane,from_frame_start,from_frame_end,from_source,from_step,from_time_ns,to_source,to_step,to_time_ns,from_state,to_state,from_run_len_frames,from_run_len_ps
npbc,2146,2146,prod,1573000,1.072501,prod,1573500,1.073001,C7eq,PPII,1,0.5
npbc,2147,2147,prod,1573500,1.073001,prod,1574000,1.073501,PPII,C7eq,1,0.5
npbc,2148,2148,prod,1574000,1.073501,prod,1574500,1.074001,C7eq,C5,1,0.5
npbc,2149,2246,prod,1574500,1.074001,prod,1623500,1.123001,C5,C7eq,98,49.0
npbc,2247,2248,prod,1623500,1.123001,prod,1624500,1.124001,C7eq,C5,2,1.0
npbc,2249,2266,prod,1624500,1.124001,prod,1633500,1.1330010000000001,C5,alphaR,18,9.0
npbc,2267,2268,prod,1633500,1.1330010000000001,prod,1634500,1.134001,alphaR,C7ax,2,1.0
npbc,2269,2270,prod,1634500,1.134001,prod,1635500,1.135001,C7ax,C5,2,1.0
npbc,2271,2301,prod,1635500,1.135001,prod,1651000,1.150501,C5,PPII,31,15.5
npbc,2302,2303,prod,1651000,1.150501,prod,1652000,1.151501,PPII,C5,2,1.0
npbc,2304,2312,prod,1652000,1.151501,prod,1656500,1.1560009999999998,C5,PPII,9,4.5
npbc,2313,2313,prod,1656500,1.1560009999999998,prod,1657000,1.156501,PPII,C5,1,0.5
npbc,2314,2315,prod,1657000,1.156501,prod,1658000,1.157501,C5,alpha_prime,2,1.0
npbc,2316,2317,prod,1658000,1.157501,prod,1659000,1.158501,alpha_prime,C7eq,2,1.0
npbc,2318,2318,prod,1659000,1.158501,prod,1659500,1.159001,C7eq,C5,1,0.5
npbc,2319,2319,prod,1659500,1.159001,prod,1660000,1.1595010000000001,C5,PPII,1,0.5
npbc,2320,2320,prod,1660000,1.1595010000000001,prod,1660500,1.1600009999999998,PPII,alpha_prime,1,0.5
npbc,2321,2326,prod,1660500,1.1600009999999998,prod,1663500,1.163001,alpha_prime,C7eq,6,3.0
npbc,2327,2327,prod,1663500,1.163001,prod,1664000,1.1635010000000001,C7eq,alpha_prime,1,0.5
npbc,2328,2331,prod,1664000,1.1635010000000001,prod,1666000,1.165501,alpha_prime,PPII,4,2.0
npbc,2332,2332,prod,1666000,1.165501,prod,1666500,1.166001,PPII,alpha_prime,1,0.5
npbc,2333,2333,prod,1666500,1.166001,prod,1667000,1.166501,alpha_prime,C7eq,1,0.5
npbc,2334,2334,prod,1667000,1.166501,prod,1667500,1.167001,C7eq,PPII,1,0.5
npbc,2335,2337,prod,1667500,1.167001,prod,1669000,1.168501,PPII,C5,3,1.5
npbc,2338,2338,prod,1669000,1.168501,prod,1669500,1.169001,C5,C7eq,1,0.5
npbc,2339,2339,prod,1669500,1.169001,prod,1670000,1.169501,C7eq,C5,1,0.5
npbc,2340,2340,prod,1670000,1.169501,prod,1670500,1.170001,C5,PPII,1,0.5
npbc,2341,2345,prod,1670500,1.170001,prod,1673000,1.172501,PPII,C5,5,2.5
npbc,2346,2379,prod,1673000,1.172501,prod,1690000,1.189501,C5,PPII,34,17.0
npbc,2380,2380,prod,1690000,1.189501,prod,1690500,1.190001,PPII,C5,1,0.5
npbc,2381,2528,prod,1690500,1.190001,prod,1764500,1.264001,C5,PPII,148,74.0
npbc,2529,2530,prod,1764500,1.264001,prod,1765500,1.265001,PPII,C5,2,1.0
npbc,2531,2531,prod,1765500,1.265001,prod,1766000,1.265501,C5,C7eq,1,0.5
npbc,2532,2532,prod,1766000,1.265501,prod,1766500,1.2660010000000002,C7eq,PPII,1,0.5
npbc,2533,2534,prod,1766500,1.2660010000000002,prod,1767500,1.267001,PPII,alpha_prime,2,1.0
npbc,2535,2536,prod,1767500,1.267001,prod,1768500,1.268001,alpha_prime,C7eq,2,1.0
npbc,2537,2537,prod,1768500,1.268001,prod,1769000,1.268501,C7eq,PPII,1,0.5
npbc,2538,2538,prod,1769000,1.268501,prod,1769500,1.269001,PPII,alpha_prime,1,0.5
npbc,2539,2541,prod,1769500,1.269001,prod,1771000,1.2705009999999999,alpha_prime,C7eq,3,1.5
npbc,2542,2542,prod,1771000,1.2705009999999999,prod,1771500,1.271001,C7eq,alpha_prime,1,0.5
npbc,2543,2544,prod,1771500,1.271001,prod,1772500,1.272001,alpha_prime,C7eq,2,1.0
npbc,2545,2545,prod,1772500,1.272001,prod,1773000,1.272501,C7eq,alpha_prime,1,0.5
npbc,2546,2546,prod,1773000,1.272501,prod,1773500,1.273001,alpha_prime,C7eq,1,0.5
npbc,2547,2547,prod,1773500,1.273001,prod,1774000,1.273501,C7eq,alpha_prime,1,0.5
npbc,2548,2555,prod,1774000,1.273501,prod,1778000,1.277501,alpha_prime,C7eq,8,4.0
npbc,2556,2556,prod,1778000,1.277501,prod,1778500,1.278001,C7eq,alpha_prime,1,0.5
npbc,2557,2561,prod,1778500,1.278001,prod,1781000,1.2805010000000001,alpha_prime,C7eq,5,2.5
npbc,2562,2562,prod,1781000,1.2805010000000001,prod,1781500,1.2810009999999998,C7eq,alpha_prime,1,0.5
npbc,2563,2563,prod,1781500,1.2810009999999998,prod,1782000,1.281501,alpha_prime,C7eq,1,0.5
npbc,2564,2564,prod,1782000,1.281501,prod,1782500,1.282001,C7eq,alpha_prime,1,0.5
npbc,2565,2565,prod,1782500,1.282001,prod,1783000,1.282501,alpha_prime,C7eq,1,0.5
npbc,2566,2566,prod,1783000,1.282501,prod,1783500,1.283001,C7eq,alpha_prime,1,0.5
npbc,2567,2568,prod,1783500,1.283001,prod,1784500,1.284001,alpha_prime,C7eq,2,1.0
npbc,2569,2569,prod,1784500,1.284001,prod,1785000,1.2845010000000001,C7eq,alpha_prime,1,0.5
npbc,2570,2571,prod,1785000,1.2845010000000001,prod,1786000,1.285501,alpha_prime,C7eq,2,1.0
npbc,2572,2589,prod,1786000,1.285501,prod,1795000,1.294501,C7eq,alphaL,18,9.0
npbc,2590,2590,prod,1795000,1.294501,prod,1795500,1.295001,alphaL,C7eq,1,0.5
npbc,2591,2597,prod,1795500,1.295001,prod,1799000,1.298501,C7eq,alpha_prime,7,3.5
npbc,2598,2609,prod,1799000,1.298501,prod,1805000,1.3045010000000001,alpha_prime,alphaR,12,6.0
npbc,2610,2610,prod,1805000,1.3045010000000001,prod,1805500,1.3050009999999999,alphaR,alpha_prime,1,0.5
npbc,2611,2614,prod,1805500,1.3050009999999999,prod,1807500,1.307001,alpha_prime,C7eq,4,2.0
npbc,2615,2617,prod,1807500,1.307001,prod,1809000,1.3085010000000001,C7eq,alpha_prime,3,1.5
