frame,step,time_ns,n_shell1,n_shell2
488,5380000,4.88,10,30
489,5390000,4.89,15,25
490,5400000,4.9,13,31
491,5410000,4.91,14,25
492,5420000,4.92,11,28
493,5430000,4.93,15,23
494,5440000,4.94,9,32
495,5450000,4.95,9,31
496,5460000,4.96,13,31
497,5470000,4.97,13,25
498,5480000,4.98,11,26
499,5490000,4.99,12,27
500,5500000,5.0,12,27
