frame,step,time_ns,n_solute_to_water,n_water_to_solute,n_total
452,5020000,4.5200000000000005,2,3,5
453,5030000,4.53,0,2,2
454,5040000,4.54,1,3,4
455,5050000,4.55,0,2,2
456,5060000,4.5600000000000005,2,5,7
457,5070000,4.57,1,3,4
458,5080000,4.58,0,3,3
459,5090000,4.59,1,3,4
460,5100000,4.6000000000000005,1,6,7
461,5110000,4.61,1,3,4
462,5120000,4.62,0,4,4
463,5130000,4.63,2,2,4
464,5140000,4.64,2,3,5
465,5150000,4.65,1,3,4
466,5160000,4.66,2,3,5
467,5170000,4.67,1,4,5
468,5180000,4.68,1,4,5
469,5190000,4.69,1,5,6
470,5200000,4.7,1,1,2
471,5210000,4.71,2,2,4
472,5220000,4.72,0,3,3
473,5230000,4.73,1,4,5
474,5240000,4.74,1,4,5
475,5250000,4.75,1,5,6
476,5260000,4.76,1,3,4
477,5270000,4.7700000000000005,2,2,4
478,5280000,4.78,1,4,5
479,5290000,4.79,1,4,5
480,5300000,4.8,1,3,4
481,5310000,4.8100000000000005,2,2,4
482,5320000,4.82,1,4,5
483,5330000,4.83,1,2,3
484,5340000,4.84,1,4,5
485,5350000,4.8500000000000005,2,5,7
486,5360000,4.86,1,3,4
487,5370000,4.87,0,3,3
488,5380000,4.88,1,5,6
489,5390000,4.89,1,4,5
490,5400000,4.9,1,4,5
491,5410000,4.91,1,0,1
492,5420000,4.92,0,3,3
493,5430000,4.93,1,5,6
494,5440000,4.94,1,4,5
495,5450000,4.95,1,5,6
496,5460000,4.96,1,3,4
497,5470000,4.97,1,1,2
498,5480000,4.98,1,2,3
499,5490000,4.99,1,4,5
500,5500000,5.0,1,2,3
