frame,step,time_ns,n_shell1,n_shell2
288,3380000,2.88,13,32
289,3390000,2.89,12,23
290,3400000,2.9,16,26
291,3410000,2.91,10,36
292,3420000,2.92,17,27
293,3430000,2.93,10,31
294,3440000,2.94,15,28
295,3450000,2.95,10,33
296,3460000,2.96,15,31
297,3470000,2.97,17,27
298,3480000,2.98,12,27
299,3490000,2.99,13,28
300,3500000,3.0,13,26
301,3510000,3.0100000000000002,16,27
302,3520000,3.02,17,25
303,3530000,3.0300000000000002,14,30
304,3540000,3.04,13,29
305,3550000,3.0500000000000003,14,30
306,3560000,3.06,12,29
307,3570000,3.0700000000000003,11,26
308,3580000,3.08,13,31
309,3590000,3.09,10,34
310,3600000,3.1,11,33
311,3610000,3.11,15,26
312,3620000,3.12,13,35
313,3630000,3.13,13,27
314,3640000,3.14,11,34
315,3650000,3.15,17,22
316,3660000,3.16,15,30
317,3670000,3.17,12,32
318,3680000,3.18,13,27
319,3690000,3.19,15,25
320,3700000,3.2,18,25
321,3710000,3.21,15,24
322,3720000,3.22,15,28
323,3730000,3.23,14,30
324,3740000,3.24,11,33
325,3750000,3.25,13,30
326,3760000,3.2600000000000002,13,31
327,3770000,3.27,14,26
328,3780000,3.2800000000000002,20,22
329,3790000,3.29,16,23
330,3800000,3.3000000000000003,13,25
331,3810000,3.31,12,34
332,3820000,3.3200000000000003,16,24
333,3830000,3.33,18,25
334,3840000,3.34,13,27
335,3850000,3.35,15,29
336,3860000,3.36,14,28
337,3870000,3.37,13,30
338,3880000,3.38,16,28
339,3890000,3.39,14,28
340,3900000,3.4,14,28
341,3910000,3.41,17,25
342,3920000,3.42,10,31
343,3930000,3.43,16,21
344,3940000,3.44,15,26
345,3950000,3.45,16,29
346,3960000,3.46,11,34
347,3970000,3.47,14,26
348,3980000,3.48,16,29
349,3990000,3.49,12,34
350,4000000,3.5,13,30
351,4010000,3.5100000000000002,11,29
352,4020000,3.52,10,31
353,4030000,3.5300000000000002,12,28
354,4040000,3.54,16,27
355,4050000,3.5500000000000003,18,23
356,4060000,3.56,15,28
357,4070000,3.5700000000000003,9,32
358,4080000,3.58,10,35
359,4090000,3.59,12,31
360,4100000,3.6,13,26
361,4110000,3.61,10,31
362,4120000,3.62,12,33
363,4130000,3.63,16,27
364,4140000,3.64,13,33
365,4150000,3.65,15,28
366,4160000,3.66,14,25
367,4170000,3.67,20,24
368,4180000,3.68,13,33
369,4190000,3.69,14,25
370,4200000,3.7,14,25
371,4210000,3.71,20,23
372,4220000,3.72,13,29
373,4230000,3.73,15,32
374,4240000,3.74,15,25
375,4250000,3.75,17,25
376,4260000,3.7600000000000002,15,27
377,4270000,3.77,16,27
378,4280000,3.7800000000000002,11,29
379,4290000,3.79,14,29
380,4300000,3.8000000000000003,12,34
381,4310000,3.81,12,30
382,4320000,3.8200000000000003,12,30
383,4330000,3.83,16,26
384,4340000,3.84,14,28
385,4350000,3.85,15,24
386,4360000,3.86,16,30
387,4370000,3.87,17,25
388,4380000,3.88,18,25
389,4390000,3.89,11,32
390,4400000,3.9,16,29
391,4410000,3.91,14,25
392,4420000,3.92,11,32
393,4430000,3.93,14,30
394,4440000,3.94,13,31
395,4450000,3.95,11,30
396,4460000,3.96,13,31
397,4470000,3.97,10,32
398,4480000,3.98,11,33
399,4490000,3.99,11,33
400,4500000,4.0,16,28
401,4510000,4.01,19,26
402,4520000,4.0200000000000005,16,27
403,4530000,4.03,13,31
404,4540000,4.04,11,31
405,4550000,4.05,13,31
406,4560000,4.0600000000000005,14,30
407,4570000,4.07,16,29
408,4580000,4.08,13,31
409,4590000,4.09,17,25
410,4600000,4.1,11,30
411,4610000,4.11,14,29
412,4620000,4.12,12,29
413,4630000,4.13,15,27
414,4640000,4.14,18,23
415,4650000,4.15,13,31
416,4660000,4.16,20,26
417,4670000,4.17,15,30
418,4680000,4.18,13,26
419,4690000,4.19,10,30
420,4700000,4.2,14,29
421,4710000,4.21,15,28
422,4720000,4.22,17,25
423,4730000,4.23,16,32
424,4740000,4.24,17,26
425,4750000,4.25,13,29
426,4760000,4.26,10,32
427,4770000,4.2700000000000005,13,30
428,4780000,4.28,16,29
429,4790000,4.29,17,26
430,4800000,4.3,15,28
431,4810000,4.3100000000000005,12,32
432,4820000,4.32,13,33
433,4830000,4.33,15,29
434,4840000,4.34,17,24
435,4850000,4.3500000000000005,16,26
436,4860000,4.36,14,30
437,4870000,4.37,20,24
438,4880000,4.38,18,25
439,4890000,4.39,19,28
440,4900000,4.4,19,22
441,4910000,4.41,10,30
442,4920000,4.42,12,33
443,4930000,4.43,15,25
444,4940000,4.44,15,33
445,4950000,4.45,13,28
446,4960000,4.46,13,26
447,4970000,4.47,15,26
448,4980000,4.48,12,31
449,4990000,4.49,16,27
450,5000000,4.5,11,32
451,5010000,4.51,14,29
452,5020000,4.5200000000000005,17,22
453,5030000,4.53,14,25
454,5040000,4.54,13,29
455,5050000,4.55,13,29
456,5060000,4.5600000000000005,11,32
457,5070000,4.57,13,28
458,5080000,4.58,18,26
459,5090000,4.59,13,30
460,5100000,4.6000000000000005,17,30
461,5110000,4.61,13,34
462,5120000,4.62,18,21
463,5130000,4.63,18,22
464,5140000,4.64,16,27
465,5150000,4.65,16,26
466,5160000,4.66,14,25
467,5170000,4.67,14,28
468,5180000,4.68,12,27
469,5190000,4.69,16,29
470,5200000,4.7,17,26
471,5210000,4.71,13,31
472,5220000,4.72,13,30
473,5230000,4.73,12,34
474,5240000,4.74,14,30
475,5250000,4.75,15,24
476,5260000,4.76,11,31
477,5270000,4.7700000000000005,19,23
478,5280000,4.78,18,24
479,5290000,4.79,14,30
480,5300000,4.8,14,31
481,5310000,4.8100000000000005,16,26
482,5320000,4.82,11,35
483,5330000,4.83,15,27
484,5340000,4.84,12,29
485,5350000,4.8500000000000005,12,26
486,5360000,4.86,12,29
487,5370000,4.87,15,29
488,5380000,4.88,14,33
489,5390000,4.89,17,20
490,5400000,4.9,15,30
491,5410000,4.91,16,29
492,5420000,4.92,17,25
493,5430000,4.93,11,30
494,5440000,4.94,13,33
495,5450000,4.95,14,28
496,5460000,4.96,18,23
497,5470000,4.97,13,28
498,5480000,4.98,13,29
499,5490000,4.99,14,24
500,5500000,5.0,13,29
