frame,step,time_ns,n_solute_to_water,n_water_to_solute,n_total
286,3360000,2.86,0,2,2
287,3370000,2.87,1,2,3
288,3380000,2.88,1,5,6
289,3390000,2.89,2,4,6
290,3400000,2.9,1,4,5
291,3410000,2.91,1,5,6
292,3420000,2.92,1,2,3
293,3430000,2.93,1,1,2
294,3440000,2.94,2,3,5
295,3450000,2.95,2,4,6
296,3460000,2.96,2,4,6
297,3470000,2.97,2,3,5
298,3480000,2.98,1,3,4
299,3490000,2.99,1,3,4
300,3500000,3.0,1,3,4
301,3510000,3.0100000000000002,1,2,3
302,3520000,3.02,1,4,5
303,3530000,3.0300000000000002,2,2,4
304,3540000,3.04,1,3,4
305,3550000,3.0500000000000003,1,3,4
306,3560000,3.06,0,3,3
307,3570000,3.0700000000000003,1,3,4
308,3580000,3.08,0,3,3
309,3590000,3.09,1,5,6
310,3600000,3.1,1,3,4
311,3610000,3.11,1,3,4
312,3620000,3.12,2,3,5
313,3630000,3.13,1,3,4
314,3640000,3.14,1,3,4
315,3650000,3.15,1,3,4
316,3660000,3.16,1,6,7
317,3670000,3.17,1,4,5
318,3680000,3.18,1,4,5
319,3690000,3.19,1,3,4
320,3700000,3.2,2,3,5
321,3710000,3.21,1,5,6
322,3720000,3.22,0,4,4
323,3730000,3.23,1,3,4
324,3740000,3.24,1,2,3
325,3750000,3.25,1,4,5
326,3760000,3.2600000000000002,1,3,4
327,3770000,3.27,1,3,4
328,3780000,3.2800000000000002,2,3,5
329,3790000,3.29,0,3,3
330,3800000,3.3000000000000003,2,2,4
331,3810000,3.31,2,3,5
332,3820000,3.3200000000000003,2,4,6
333,3830000,3.33,2,3,5
334,3840000,3.34,2,3,5
335,3850000,3.35,2,4,6
336,3860000,3.36,1,3,4
337,3870000,3.37,1,2,3
338,3880000,3.38,1,3,4
339,3890000,3.39,0,2,2
340,3900000,3.4,2,3,5
341,3910000,3.41,2,1,3
342,3920000,3.42,1,0,1
343,3930000,3.43,0,3,3
344,3940000,3.44,0,2,2
345,3950000,3.45,1,4,5
346,3960000,3.46,0,5,5
347,3970000,3.47,1,4,5
348,3980000,3.48,1,4,5
349,3990000,3.49,1,4,5
350,4000000,3.5,1,3,4
351,4010000,3.5100000000000002,1,3,4
352,4020000,3.52,1,3,4
353,4030000,3.5300000000000002,2,1,3
354,4040000,3.54,2,3,5
355,4050000,3.5500000000000003,1,3,4
356,4060000,3.56,1,4,5
357,4070000,3.5700000000000003,0,3,3
358,4080000,3.58,1,2,3
359,4090000,3.59,2,4,6
360,4100000,3.6,1,3,4
361,4110000,3.61,0,2,2
362,4120000,3.62,2,4,6
363,4130000,3.63,1,4,5
364,4140000,3.64,1,3,4
365,4150000,3.65,0,4,4
366,4160000,3.66,1,4,5
367,4170000,3.67,0,2,2
368,4180000,3.68,1,4,5
369,4190000,3.69,0,3,3
370,4200000,3.7,1,1,2
371,4210000,3.71,1,1,2
372,4220000,3.72,0,3,3
373,4230000,3.73,1,2,3
374,4240000,3.74,2,3,5
375,4250000,3.75,1,3,4
376,4260000,3.7600000000000002,0,2,2
377,4270000,3.77,0,2,2
378,4280000,3.7800000000000002,0,2,2
379,4290000,3.79,1,3,4
380,4300000,3.8000000000000003,1,3,4
381,4310000,3.81,1,4,5
382,4320000,3.8200000000000003,0,5,5
383,4330000,3.83,1,3,4
384,4340000,3.84,1,4,5
385,4350000,3.85,0,5,5
386,4360000,3.86,2,4,6
387,4370000,3.87,0,4,4
388,4380000,3.88,1,2,3
389,4390000,3.89,1,3,4
390,4400000,3.9,1,2,3
391,4410000,3.91,1,4,5
392,4420000,3.92,0,2,2
393,4430000,3.93,0,1,1
394,4440000,3.94,0,5,5
395,4450000,3.95,1,3,4
396,4460000,3.96,1,3,4
397,4470000,3.97,0,3,3
398,4480000,3.98,2,2,4
399,4490000,3.99,2,3,5
400,4500000,4.0,1,4,5
401,4510000,4.01,1,4,5
402,4520000,4.0200000000000005,1,2,3
403,4530000,4.03,2,4,6
404,4540000,4.04,1,3,4
405,4550000,4.05,1,2,3
406,4560000,4.0600000000000005,1,2,3
407,4570000,4.07,0,3,3
408,4580000,4.08,0,3,3
409,4590000,4.09,1,3,4
410,4600000,4.1,1,2,3
411,4610000,4.11,1,4,5
412,4620000,4.12,1,4,5
413,4630000,4.13,1,2,3
414,4640000,4.14,1,3,4
415,4650000,4.15,1,3,4
416,4660000,4.16,1,3,4
417,4670000,4.17,1,3,4
418,4680000,4.18,0,3,3
419,4690000,4.19,0,5,5
420,4700000,4.2,2,4,6
421,4710000,4.21,1,1,2
422,4720000,4.22,0,1,1
423,4730000,4.23,2,2,4
424,4740000,4.24,1,3,4
425,4750000,4.25,2,1,3
426,4760000,4.26,0,3,3
427,4770000,4.2700000000000005,1,3,4
428,4780000,4.28,1,3,4
429,4790000,4.29,0,4,4
430,4800000,4.3,0,4,4
431,4810000,4.3100000000000005,2,2,4
432,4820000,4.32,1,4,5
433,4830000,4.33,1,3,4
434,4840000,4.34,0,4,4
435,4850000,4.3500000000000005,2,3,5
436,4860000,4.36,1,2,3
437,4870000,4.37,0,3,3
438,4880000,4.38,2,3,5
439,4890000,4.39,0,4,4
440,4900000,4.4,0,3,3
441,4910000,4.41,1,4,5
442,4920000,4.42,0,3,3
443,4930000,4.43,0,3,3
444,4940000,4.44,1,4,5
445,4950000,4.45,1,2,3
446,4960000,4.46,1,3,4
447,4970000,4.47,0,2,2
448,4980000,4.48,2,2,4
449,4990000,4.49,1,3,4
450,5000000,4.5,1,4,5
451,5010000,4.51,2,4,6
452,5020000,4.5200000000000005,2,4,6
453,5030000,4.53,1,3,4
454,5040000,4.54,1,1,2
