frame,step,time_ns,n_shell1,n_shell2
438,4880000,4.38,12,31
439,4890000,4.39,13,29
440,4900000,4.4,13,30
441,4910000,4.41,12,33
442,4920000,4.42,11,30
443,4930000,4.43,15,28
444,4940000,4.44,12,31
445,4950000,4.45,14,23
446,4960000,4.46,9,30
447,4970000,4.47,15,24
448,4980000,4.48,12,28
449,4990000,4.49,12,26
450,5000000,4.5,13,26
451,5010000,4.51,13,30
452,5020000,4.5200000000000005,13,30
453,5030000,4.53,12,33
454,5040000,4.54,13,27
455,5050000,4.55,13,31
456,5060000,4.5600000000000005,12,28
457,5070000,4.57,15,28
458,5080000,4.58,12,30
459,5090000,4.59,9,36
460,5100000,4.6000000000000005,12,32
461,5110000,4.61,13,28
462,5120000,4.62,13,29
463,5130000,4.63,14,26
464,5140000,4.64,11,28
465,5150000,4.65,15,28
466,5160000,4.66,11,31
467,5170000,4.67,14,30
468,5180000,4.68,12,30
469,5190000,4.69,12,27
470,5200000,4.7,14,25
471,5210000,4.71,10,32
472,5220000,4.72,15,24
473,5230000,4.73,13,23
474,5240000,4.74,15,25
475,5250000,4.75,14,26
476,5260000,4.76,13,29
477,5270000,4.7700000000000005,13,30
478,5280000,4.78,10,33
479,5290000,4.79,12,32
480,5300000,4.8,13,29
481,5310000,4.8100000000000005,15,23
482,5320000,4.82,15,29
483,5330000,4.83,12,33
484,5340000,4.84,12,33
485,5350000,4.8500000000000005,12,31
486,5360000,4.86,14,33
487,5370000,4.87,15,23
488,5380000,4.88,19,23
489,5390000,4.89,15,29
490,5400000,4.9,11,31
491,5410000,4.91,13,23
492,5420000,4.92,13,31
493,5430000,4.93,12,30
494,5440000,4.94,14,28
495,5450000,4.95,19,25
496,5460000,4.96,15,25
497,5470000,4.97,15,33
498,5480000,4.98,12,28
499,5490000,4.99,15,26
500,5500000,5.0,13,27
